TBK_t1,TBK_t2,TBK_t3
6.51,5.07,6.64
5.07,6.64,6.94
6.64,6.94,6.29
6.94,6.29,6.29
6.29,6.29,6.29
8.11,7.27,7.89
7.27,7.89,8.35
7.89,8.35,7.904999999999999
8.35,7.904999999999999,7.904999999999999
7.904999999999999,7.904999999999999,7.904999999999999
5.3,4.1,4.33
4.1,4.33,4.64
4.33,4.64,4.592499999999999
4.64,4.592499999999999,4.592499999999999
4.592499999999999,4.592499999999999,4.592499999999999
7.22,6.67,6.36
6.67,6.36,7.57
6.36,7.57,6.955
7.57,6.955,6.955
6.955,6.955,6.955
5.76,5.03,5.11
5.03,5.11,4.92
5.11,4.92,5.205
4.92,5.205,5.205
5.205,5.205,5.205
6.38,5.7,1.0
5.7,1.0,0.0
1.0,0.0,3.27
0.0,3.27,3.27
3.27,3.27,3.27
5.98,4.5,3.66
4.5,3.66,4.34
3.66,4.34,4.62
4.34,4.62,4.62
4.62,4.62,4.62
7.74,4.13,5.47
4.13,5.47,5.59
5.47,5.59,5.7325
5.59,5.7325,5.7325
5.7325,5.7325,5.7325
7.86,6.7,6.68
6.7,6.68,6.64
6.68,6.64,6.970000000000001
6.64,6.970000000000001,6.970000000000001
6.970000000000001,6.970000000000001,6.970000000000001
7.55,5.93,6.91
5.93,6.91,5.82
6.91,5.82,6.5525
5.82,6.5525,6.5525
6.5525,6.5525,6.5525
7.27,6.0,6.39
6.0,6.39,6.25
6.39,6.25,6.4775
6.25,6.4775,6.4775
6.4775,6.4775,6.4775
7.18,6.3,6.29
6.3,6.29,6.22
6.29,6.22,6.4975000000000005
6.22,6.4975000000000005,6.4975000000000005
6.4975000000000005,6.4975000000000005,6.4975000000000005
3.24,4.6,3.83
4.6,3.83,0.0
3.83,0.0,2.9175
0.0,2.9175,2.9175
2.9175,2.9175,2.9175
6.36,6.8,6.52
6.8,6.52,6.29
6.52,6.29,6.4925
6.29,6.4925,6.4925
6.4925,6.4925,6.4925
6.81,6.03,4.54
6.03,4.54,6.69
4.54,6.69,6.0175
6.69,6.0175,6.0175
6.0175,6.0175,6.0175
7.61,6.5,7.73
6.5,7.73,6.81
7.73,6.81,7.1625
6.81,7.1625,7.1625
7.1625,7.1625,7.1625
7.34,6.47,6.49
6.47,6.49,8.25
6.49,8.25,7.137499999999999
8.25,7.137499999999999,7.137499999999999
7.137499999999999,7.137499999999999,7.137499999999999
7.72,5.73,7.18
5.73,7.18,7.34
7.18,7.34,6.9925
7.34,6.9925,6.9925
6.9925,6.9925,6.9925
0.0,0.0,0.0
0.0,0.0,9.0
0.0,9.0,2.25
9.0,2.25,2.25
2.25,2.25,2.25
7.89,7.77,7.16
7.77,7.16,7.95
7.16,7.95,7.6925
7.95,7.6925,7.6925
7.6925,7.6925,7.6925
6.23,6.3,5.89
6.3,5.89,7.06
5.89,7.06,6.37
7.06,6.37,6.37
6.37,6.37,6.37
8.69,7.87,8.05
7.87,8.05,8.54
8.05,8.54,8.2875
8.54,8.2875,8.2875
8.2875,8.2875,8.2875
8.53,7.5,6.72
7.5,6.72,6.84
6.72,6.84,7.3975
6.84,7.3975,7.3975
7.3975,7.3975,7.3975
7.17,5.23,6.0
5.23,6.0,6.26
6.0,6.26,6.165
6.26,6.165,6.165
6.165,6.165,6.165
9.7,9.33,8.98
9.33,8.98,9.35
8.98,9.35,9.34
9.35,9.34,9.34
9.34,9.34,9.34
6.78,5.4,5.72
5.4,5.72,6.12
5.72,6.12,6.005
6.12,6.005,6.005
6.005,6.005,6.005
6.56,5.5,5.67
5.5,5.67,5.36
5.67,5.36,5.7725
5.36,5.7725,5.7725
5.7725,5.7725,5.7725
7.58,6.3,6.26
6.3,6.26,5.92
6.26,5.92,6.515
5.92,6.515,6.515
6.515,6.515,6.515
8.14,7.17,6.19
7.17,6.19,5.91
6.19,5.91,6.852500000000001
5.91,6.852500000000001,6.852500000000001
6.852500000000001,6.852500000000001,6.852500000000001
6.76,5.73,6.11
5.73,6.11,6.89
6.11,6.89,6.3725000000000005
6.89,6.3725000000000005,6.3725000000000005
6.3725000000000005,6.3725000000000005,6.3725000000000005
6.38,4.53,4.56
4.53,4.56,6.85
4.56,6.85,5.58
6.85,5.58,5.58
5.58,5.58,5.58
8.43,8.13,7.55
8.13,7.55,8.51
7.55,8.51,8.155000000000001
8.51,8.155000000000001,8.155000000000001
8.155000000000001,8.155000000000001,8.155000000000001
6.54,6.27,6.95
6.27,6.95,5.9
6.95,5.9,6.415
5.9,6.415,6.415
6.415,6.415,6.415
3.35,0.0,0.0
0.0,0.0,1.1166666666666667
0.0,1.1166666666666667,1.1166666666666667
1.1166666666666667,1.1166666666666667,1.1166666666666667
1.1166666666666667,1.1166666666666667,1.1166666666666667
8.48,7.63,8.43
7.63,8.43,8.57
8.43,8.57,8.2775
8.57,8.2775,8.2775
8.2775,8.2775,8.2775
7.82,8.07,7.21
8.07,7.21,8.18
7.21,8.18,7.82
8.18,7.82,7.82
7.82,7.82,7.82
6.39,5.1,4.76
5.1,4.76,5.54
4.76,5.54,5.4475
5.54,5.4475,5.4475
5.4475,5.4475,5.4475
8.06,6.83,7.35
6.83,7.35,7.89
7.35,7.89,7.5325
