ID,TBK1,TBK2,TBK3,TBK4,TBK5,TBK6,TBK7,TBK8
243030513,6.93,6.13,6.529999999999999,6.529999999999999,6.529999999999999,6.529999999999999,6.529999999999999,6.529999999999999
243030514,8.26,7.27,7.765,7.765,7.765,7.765,7.765,7.765
243030515,7.46,5.37,6.415,6.415,6.415,6.415,6.415,6.415
243024441,8.28,6.63,7.455,7.455,7.455,7.455,7.455,7.455
243030516,5.32,5.47,5.395,5.395,5.395,5.395,5.395,5.395
243030517,7.46,7.2,7.33,7.33,7.33,7.33,7.33,7.33
243030518,5.49,5.5,5.495,5.495,5.495,5.495,5.495,5.495
243024442,8.58,7.7,8.14,8.14,8.14,8.14,8.14,8.14
243030519,6.11,5.93,6.02,6.02,6.02,6.02,6.02,6.02
243030521,5.23,3.47,4.3500000000000005,4.3500000000000005,4.3500000000000005,4.3500000000000005,4.3500000000000005,4.3500000000000005
243024443,4.64,5.33,4.984999999999999,4.984999999999999,4.984999999999999,4.984999999999999,4.984999999999999,4.984999999999999
243003889,6.81,6.2,6.505,6.505,6.505,6.505,6.505,6.505
243030522,6.92,6.43,6.675,6.675,6.675,6.675,6.675,6.675
243030523,7.46,7.53,7.495,7.495,7.495,7.495,7.495,7.495
243030524,3.76,0.0,1.88,1.88,1.88,1.88,1.88,1.88
243030525,6.01,5.17,5.59,5.59,5.59,5.59,5.59,5.59
243030526,6.29,6.63,6.46,6.46,6.46,6.46,6.46,6.46
243030541,7.01,6.07,6.54,6.54,6.54,6.54,6.54,6.54
243030527,5.24,6.07,5.655,5.655,5.655,5.655,5.655,5.655
243030528,6.69,5.7,6.195,6.195,6.195,6.195,6.195,6.195
243030529,7.42,6.13,6.775,6.775,6.775,6.775,6.775,6.775
243030530,6.24,6.1,6.17,6.17,6.17,6.17,6.17,6.17
243030531,8.3,7.43,7.865,7.865,7.865,7.865,7.865,7.865
243030532,7.8,7.93,7.865,7.865,7.865,7.865,7.865,7.865
243030533,6.46,6.2,6.33,6.33,6.33,6.33,6.33,6.33
243030535,8.07,7.1,7.585,7.585,7.585,7.585,7.585,7.585
243030536,7.32,6.4,6.86,6.86,6.86,6.86,6.86,6.86
243030537,6.71,6.7,6.705,6.705,6.705,6.705,6.705,6.705
243030538,8.28,6.73,7.505,7.505,7.505,7.505,7.505,7.505
243030539,5.89,5.0,5.445,5.445,5.445,5.445,5.445,5.445
243030540,5.81,3.0,4.404999999999999,4.404999999999999,4.404999999999999,4.404999999999999,4.404999999999999,4.404999999999999
243030542,7.58,2.63,5.105,5.105,5.105,5.105,5.105,5.105
243030543,6.97,5.43,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999
243030544,6.99,7.43,7.21,7.21,7.21,7.21,7.21,7.21
243030545,6.38,5.37,5.875,5.875,5.875,5.875,5.875,5.875
243030546,5.98,5.0,5.49,5.49,5.49,5.49,5.49,5.49
243003890,5.86,4.13,4.995,4.995,4.995,4.995,4.995,4.995
243030547,5.36,5.2,5.28,5.28,5.28,5.28,5.28,5.28
243030548,8.33,6.93,7.63,7.63,7.63,7.63,7.63,7.63
243024446,3.99,4.6,4.295,4.295,4.295,4.295,4.295,4.295
243030549,6.6,5.63,6.115,6.115,6.115,6.115,6.115,6.115
243030550,7.29,5.43,6.359999999999999,6.359999999999999,6.359999999999999,6.359999999999999,6.359999999999999,6.359999999999999
243024447,6.02,5.23,5.625,5.625,5.625,5.625,5.625,5.625
243030551,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27
243030552,5.85,5.43,5.64,5.64,5.64,5.64,5.64,5.64
243030553,7.56,6.73,7.145,7.145,7.145,7.145,7.145,7.145
243003891,5.65,4.27,4.96,4.96,4.96,4.96,4.96,4.96
243030554,6.96,5.3,6.13,6.13,6.13,6.13,6.13,6.13
243030555,5.99,5.03,5.51,5.51,5.51,5.51,5.51,5.51
243030556,6.54,2.17,4.355,4.355,4.355,4.355,4.355,4.355
243030557,9.01,7.4,8.205,8.205,8.205,8.205,8.205,8.205
243030558,7.19,8.63,7.91,7.91,7.91,7.91,7.91,7.91
243003892,7.45,3.83,5.640000000000001,5.640000000000001,5.640000000000001,5.640000000000001,5.640000000000001,5.640000000000001
243030559,4.02,4.73,4.375,4.375,4.375,4.375,4.375,4.375
243030560,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09
243030562,5.74,3.17,4.455,4.455,4.455,4.455,4.455,4.455
243030563,4.48,5.33,4.905,4.905,4.905,4.905,4.905,4.905
